Date,Symbol,Company,Sector,Industry,Last Index Change
2021-01-04,NTR,Nutrien Ltd.,Basic Materials,Agriculture,2020-06-22
2021-01-04,OGC,OceanaGold Corporation,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,ONEX,Onex Corporation,Financial Services,Asset Management,2020-06-22
2021-01-04,OTEX,Open Text Corporation,Technology,Software,2020-06-22
2021-01-04,OR,Osisko Gold Royalties Ltd.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,OSK,Osisko Mining Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,PAAS,Pan American Silver Corp.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,PXT,Parex Resources Inc.,Energy,Oil & Gas,2020-06-22
2021-01-04,PKI,Parkland Corporation,Energy,Oil & Gas,2020-06-22
2021-01-04,PPL,Pembina Pipeline Corporation,Energy,Oil & Gas,2020-06-22
2021-01-04,POW,Power Corporation of Canada,Financial Services,Insurance,2020-06-22
2021-01-04,PSK,PrairieSky Royalty Ltd.,Energy,Oil & Gas,2020-06-22
2021-01-04,PBH,Premium Brands Holdings Corporation,Consumer Defensive,Consumer Packaged Goods,2020-06-22
2021-01-04,PVG,Pretium Resources Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,PRMW,Primo Water Corporation,Consumer Defensive,Non-Alcoholic Beverages,2020-06-22
2021-01-04,QBR.B,Quebecor Inc.,Communication Services,Telecommunication Services,2020-06-22
2021-01-04,REAL,Real Matters Inc.,Technology,Software,2020-06-22
2021-01-04,RECP,Recipe Unlimited,Consumer Cyclical,Restaurants,2020-06-22
2021-01-04,QSR,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants,2020-06-22
2021-01-04,RCH,Richelieu Hardware Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2020-06-22
2021-01-04,REI.UN,RioCan Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,RBA,Ritchie Bros. Auctioneers Incorporated,Industrials,Business Services,2020-06-22
2021-01-04,RCI.B,Rogers Communications Inc.,Communication Services,Telecommunication Services,2020-06-22
2021-01-04,RY,Royal Bank of Canada,Financial Services,Banks,2020-06-22
2021-01-04,RUS,Russel Metals Inc.,Industrials,Industrial Distribution,2020-06-22
2021-01-04,SSL,Sandstorm Gold Ltd.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,SAP,Saputo Inc.,Consumer Defensive,Consumer Packaged Goods,2020-06-22
2021-01-04,SEA,Seabridge Gold Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,SMF,Semafo Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,VII,Seven Generations Energy Ltd.,Energy,Oil & Gas,2020-06-22
2021-01-04,SJR.B,Shaw Communications Inc.,Communication Services,Telecommunication Services,2020-06-22
2021-01-04,SHOP,Shopify Inc.,Technology,Software,2020-06-22
2021-01-04,SIA,Sienna Senior Living Inc.,Healthcare,Healthcare Providers & Services,2020-06-22
2021-01-04,SVM,Silvercorp Metals Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,SIL,SilverCrest Metals Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,ZZZ,Sleep Country Canada Holdings Inc.,Consumer Cyclical,Retail Cyclical,2020-06-22
2021-01-04,SRU.UN,SmartCentres Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,SNC,SNC-Lavalin Group Inc.,Industrials,Construction,2020-06-22
2021-01-04,TOY,Spin Master Corp.,Consumer Cyclical,Travel & Leisure,2020-06-22
2021-01-04,SII,Sprott Inc.,Financial Services,Asset Management,2020-06-22
2021-01-04,SSRM,SSR Mining Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,STN,Stantec Inc.,Industrials,Construction,2020-06-22
