Last Index Change,Symbol,Company,Sector,Industry
2019-09-23,CRR.UN,Crombie Real Estate Investment Trust,Real Estate,REITs
2019-09-23,CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers
2019-09-23,CRT.UN,CT Real Estate Investment Trust,Real Estate,REITs
2019-09-23,DSG,Descartes Systems Group Inc.,Technology,Software
2019-09-23,DOL,Dollarama Inc.,Consumer Defensive,Retail - Defensive
2019-09-23,DIR.UN,Dream Industrial Real Estate Investment Trust,Real Estate,REITs
2019-09-23,D.UN,Dream Office Real Estate Investment Trust,Real Estate,REITs
2019-09-23,ECN,ECN Capital Corp.,Financial Services,Credit Services
2019-09-23,ELD,Eldorado Gold Corporation,Basic Materials,Metals & Mining
2019-09-23,EFN,Element Fleet Management Corp.,Industrials,Business Services
2019-09-23,EMA,Emera Incorporated,Utilities,Regulated Utilities
2019-09-23,EMP.A,Empire Company,Consumer Defensive,Retail - Defensive
2019-09-23,ENB,Enbridge Inc.,Energy,Oil & Gas
2019-09-23,EDV,Endeavour Mining Corporation,Basic Materials,Metals & Mining
2019-09-23,EFX,Enerflex Ltd.,Energy,Oil & Gas
2019-09-23,ERF,Enerplus Corporation,Energy,Oil & Gas
2019-09-23,ENGH,Enghouse Systems Limited,Technology,Software
2019-09-23,EQB,Equitable Group Inc.,Financial Services,Banks
2019-09-23,ERO,Ero Copper Corp.,Basic Materials,Metals & Mining
2019-09-23,EIF,Exchange Income Corporation,Industrials,Transportation
2019-09-23,EXE,Extendicare Inc.,Healthcare,Healthcare Providers & Services
2019-09-23,FFH,Fairfax Financial Holdings Limited,Financial Services,Insurance
2019-09-23,FTT,Finning International Inc.,Industrials,Industrial Distribution
2019-09-23,FCR.UN,First Capital Real Estate Investment Trust,Real Estate,REITs
2019-09-23,FR,First Majestic Silver Corp.,Basic Materials,Metals & Mining
2019-09-23,FM,First Quantum Minerals Ltd.,Basic Materials,Metals & Mining
2019-09-23,FSV,FirstService Corporation,Real Estate,Real Estate
2019-09-23,FTS,Fortis Inc.,Utilities,Regulated Utilities
2019-09-23,FNV,Franco-Nevada Corporation,Basic Materials,Metals & Mining
2019-09-23,FRU,Freehold Royalties Ltd.,Energy,Oil & Gas
2019-09-23,FEC,Frontera Energy Corporation,Energy,Oil & Gas
2019-09-23,MIC,Genworth MI Canada Inc.,Financial Services,Insurance
2019-09-23,WN,George Weston Limited,Consumer Defensive,Retail - Defensive
2019-09-23,GEI,Gibson Energy Inc.,Energy,Oil & Gas
2019-09-23,GIL,Gildan Activewear Inc.,Consumer Cyclical,Apparel & Accessories
2019-09-23,GRT.UN,Granite Real Estate Investment Trust,Real Estate,REITs
2019-09-23,GC,Great Canadian Gaming Corporation,Consumer Cyclical,Travel & Leisure
2019-09-23,GWO,Great-West Lifeco Inc.,Financial Services,Insurance
2019-09-23,HR.UN,H&R Real Estate Investment Trust,Real Estate,REITs
2019-09-23,HEXO,HEXO Corp.,Healthcare,Drug Manufacturers
2019-09-23,HCG,Home Capital Group Inc.,Financial Services,Banks
2019-09-23,HBM,Hudbay Minerals Inc.,Basic Materials,Metals & Mining
2019-09-23,HSE,Husky Energy Inc.,Energy,Oil & Gas
2019-09-23,H,Hydro One Limited,Utilities,Regulated Utilities
2019-09-23,IAG,iA Financial Corporation Inc.,Financial Services,Insurance
2019-09-23,IMG,Iamgold Corporation,Basic Materials,Metals & Mining
2019-09-23,IGM,IGM Financial Inc.,Financial Services,Asset Management
2019-09-23,IMO,Imperial Oil Limited,Energy,Oil & Gas
2019-09-23,INE,Innergex Renewable Energy Inc.,Utilities,Independent Power Producers
2019-09-23,IFC,Intact Financial Corporation,Financial Services,Insurance
2019-09-23,IPL,Inter Pipeline Ltd.,Energy,Oil & Gas
2019-09-23,IFP,Interfor Corporation,Basic Materials,Forest Products
2019-09-23,IIP.UN,InterRent Real Estate Investment Trust,Real Estate,REITs
2019-09-23,ITP,Intertape Polymer Group Inc.,Consumer Cyclical,Packaging & Containers
2019-09-23,IVN,Ivanhoe Mines Ltd.,Basic Materials,Metals & Mining
2019-09-23,JWEL,Jamieson Wellness Inc.,Consumer Defensive,Consumer Packaged Goods
2019-09-23,KEY,Keyera Corp.,Energy,Oil & Gas
2019-09-23,KMP.UN,Killam Apartment Real Estate Investment Trust,Real Estate,REITs
2019-09-23,KXS,Kinaxis Inc.,Technology,Software
2019-09-23,K,Kinross Gold Corporation,Basic Materials,Metals & Mining
2019-09-23,KL,Kirkland Lake Gold Ltd.,Basic Materials,Metals & Mining
2019-09-23,GUD,Knight Therapeutics Inc.,Healthcare,Drug Manufacturers
2019-09-23,LIF,Labrador Iron Ore Royalty Corporation,Basic Materials,Steel
2019-09-23,LB,Laurentian Bank of Canada,Financial Services,Banks
2019-09-23,LSPD,Lightspeed POS Inc.,Technology,Software
2019-09-23,LNR,Linamar Corporation,Consumer Cyclical,Vehicles & Parts
2019-09-23,L,Loblaw Companies Limited,Consumer Defensive,Retail - Defensive
2019-09-23,LUN,Lundin Mining Corporation,Basic Materials,Metals & Mining
2019-09-23,MAG,MAG Silver Corp.,Basic Materials,Metals & Mining
2019-09-23,MG,Magna International Inc.,Consumer Cyclical,Vehicles & Parts
2019-09-23,MFC,Manulife Financial Corporation,Financial Services,Insurance
2019-09-23,MFI,Maple Leaf Foods Inc.,Consumer Defensive,Consumer Packaged Goods
2019-09-23,MRE,Martinrea International Inc.,Consumer Cyclical,Vehicles & Parts
2019-09-23,MEG,MEG Energy Corp.,Energy,Oil & Gas
2019-09-23,MX,Methanex Corporation,Basic Materials,Chemicals
2019-09-23,MRU,Metro Inc.,Consumer Defensive,Retail - Defensive
2019-09-23,MSI,Morneau Shepell Inc.,Industrials,Business Services
